product_detail,product_id
BAGUETTE,101
PAIN AU CHOCOLAT,102
PAIN,103
TRADITIONAL BAGUETTE,104
CROISSANT,105
BANETTE,106
BANETTINE,107
SPECIAL BREAD,108
COUPE,109
SAND JB EMMENTAL,110
KOUIGN AMANN,111
BOULE 200G,112
BOULE 400G,113
GAL FRANGIPANE 6P,114
CAMPAGNE,115
MOISSON,116
CAFE OU EAU,117
BRIOCHE,118
CEREAL BAGUETTE,119
SEIGLE,120
COMPLET,121
DIVERS PATISSERIE,122
GAL FRANGIPANE 4P,123
COOKIE,124
FICELLE,125
PAIN AUX RAISINS,126
GAL POMME 6P,127
GAL POMME 4P,128
FINANCIER X5,129
VIK BREAD,130
DIVERS VIENNOISERIE,131
GACHE,132
SANDWICH COMPLET,133
PAIN BANETTE,134
GRAND FAR BRETON,135
QUIM BREAD,136
SPECIAL BREAD KG,137
GD KOUIGN AMANN,138
BOULE POLKA,139
DEMI BAGUETTE,140
CHAUSSON AUX POMMES,141
BAGUETTE GRAINE,142
DIVERS CONFISERIE,143
SUCETTE,144
DIVERS BOULANGERIE,145
BOISSON 33CL,146
PATES,147
FORMULE SANDWICH,148
DIVERS SANDWICHS,149
CROISSANT AMANDES,150
PAIN CHOCO AMANDES,151
SACHET VIENNOISERIE,152
NANTAIS,153
CHOCOLAT,154
PAIN S/SEL,155
FONDANT CHOCOLAT,156
GAL POIRE CHOCO 6P,157
GAL POIRE CHOCO 4P,158
GALETTE 8 PERS,159
SAND JB,160
SACHET DE CROUTON,161
GRANDE SUCETTE,162
DEMI PAIN,163
TARTELETTE,164
FLAN,165
PARIS BREST,166
SAVARIN,167
FLAN ABRICOT,168
BAGUETTE APERO,169
MILLES FEUILLES,170
CHOU CHANTILLY,171
ECLAIR,172
ROYAL 4P,173
TARTE FRUITS 6P,174
TARTE FRUITS 4P,175
NOIX JAPONAISE,176
THE,177
BRIOCHETTE,178
ROYAL 6P,179
ECLAIR FRAISE PISTACHE,180
.,181
GD FAR BRETON,182
TRIANGLES,183
TROPEZIENNE,184
TROPEZIENNE FRAMBOISE,185
ROYAL,186
TARTE FRAISE 6P,187
TARTELETTE FRAISE,188
TARTE FRAISE 4PER,189
FRAISIER,190
NID DE POULE,191
TARTELETTE CHOC,192
PAIN DE MIE,193
CRUMBLE,194
FINANCIER,195
DIVERS BOISSONS,196
CAKE,197
VIENNOISE,198
TRAITEUR,199
PAIN GRAINES,200
"PLATPREPARE6,50",201
"PLATPREPARE5,50",202
"PLATPREPARE7,00",203
FORMULE PLAT PREPARE,204
ST HONORE,205
BROWNIES,206
RELIGIEUSE,207
"PLATPREPARE6,00",208
DELICETROPICAL,209
CRUMBLECARAMEL OU PISTAE,210
PT NANTAIS,211
GD NANTAIS,212
DOUCEUR D HIVER,213
TROIS CHOCOLAT,214
ARTICLE 295,215
TARTE FINE,216
ENTREMETS,217
BRIOCHE DE NOEL,218
FRAMBOISIER,219
BUCHE 4PERS,220
BUCHE 6PERS,221
GD PLATEAU SALE,222
BUCHE 8PERS,223
PT PLATEAU SALE,224
REDUCTION SUCREES 12,225
PAIN NOIR,226
REDUCTION SUCREES 24,227
BOTTEREAU,228
MERINGUE,229
PALMIER,230
PAILLE,231
PLAT 6.50E,232
PLAT 7.60E,233
PLAT 7.00,234
PLAT,235
PLAT 8.30E,236
FORMULE PATE,237
GUERANDAIS,238
PALET BRETON,239
CARAMEL NOIX,240
MACARON,241
12 MACARON,242
ARMORICAIN,243
PLAQUE TARTE 25P,244
SABLE F  P,245
PAIN SUISSE PEPITO,246
TULIPE,247
TARTELETTE COCKTAIL,248
SACHET DE VIENNOISERIE,249
